COUNTY LONG,COUNTY,COUNTYFP,1970,1980,1990,2000,2010,2020,1970 - 1980,1980 - 1990,1990 - 2000,2000 - 2010,2010 - 2020
Pipestone County,Pipestone,117,12791,11690,10491,9895,9596,9424,-8.61,-10.26,-5.68,-3.02,-1.79
Polk County,Polk,119,34435,34844,32498,31369,31600,31192,1.19,-6.73,-3.47,0.74,-1.29
Pope County,Pope,121,11107,11657,10745,11236,10995,11308,4.95,-7.82,4.57,-2.14,2.85
Ramsey County,Ramsey,123,476255,459784,485765,511035,508640,552352,-3.46,5.65,5.2,-0.47,8.59
Red Lake County,Red Lake,125,5388,5471,4525,4299,4089,3935,1.54,-17.29,-4.99,-4.88,-3.77
Redwood County,Redwood,127,20024,19341,17254,16815,16059,15425,-3.41,-10.79,-2.54,-4.5,-3.95
Renville County,Renville,129,21139,20401,17673,17154,15730,14723,-3.49,-13.37,-2.94,-8.3,-6.4
Rice County,Rice,131,41582,46087,49183,56665,64142,67097,10.83,6.72,15.21,13.2,4.61
Rock County,Rock,133,11346,10703,9806,9721,9687,9704,-5.67,-8.38,-0.87,-0.35,0.18
Roseau County,Roseau,135,11569,12574,15026,16338,15629,15331,8.69,19.5,8.73,-4.34,-1.91
Saint Louis County,Saint Louis,137,220693,222229,198213,200528,200226,200231,0.7,-10.81,1.17,-0.15,-0.01
Scott County,Scott,139,32423,43784,57846,89498,129928,150928,35.04,32.12,54.72,45.17,16.16
Sherburne County,Sherburne,141,18344,29908,41945,64417,88499,97183,63.04,40.25,53.57,37.38,9.81
Sibley County,Sibley,143,15845,15448,14366,15356,15226,14836,-2.51,-7,6.89,-0.85,-2.56
Stearns County,Stearns,145,95400,108161,118791,133166,150642,158292,13.38,9.83,12.1,13.12,5.08
Steele County,Steele,147,26931,30328,30729,33680,36576,37406,12.61,1.32,9.6,8.6,2.27
Stevens County,Stevens,149,11218,11322,10634,10053,9726,9671,0.93,-6.08,-5.46,-3.25,-0.57
Swift County,Swift,151,13177,12920,10724,11956,9783,9838,-1.95,-17,11.49,-18.17,0.56
Todd County,Todd,153,22114,24991,23363,24426,24895,25262,13.01,-6.51,4.55,1.92,1.47
Traverse County,Traverse,155,6254,5542,4463,4134,3558,3360,-11.38,-19.47,-7.37,-13.93,-5.56
Wabasha County,Wabasha,157,17224,19335,19744,21610,21676,21387,12.26,2.12,9.45,0.31,-1.33
Wadena County,Wadena,159,12412,14192,13154,13713,13843,14065,14.34,-7.31,4.25,0.95,1.6
Waseca County,Waseca,161,16663,18448,18079,19526,19136,18968,10.71,-2,8,-2,-0.88
Washington County,Washington,163,82948,113571,145896,201130,238136,267568,36.92,28.46,37.86,18.4,12.36
Watonwan County,Watonwan,165,13298,12361,11682,11876,11211,11253,-7.05,-5.49,1.66,-5.6,0.37
Wilkin County,Wilkin,167,9389,8454,7516,7138,6576,6506,-9.96,-11.1,-5.03,-7.87,-1.06
Winona County,Winona,169,44409,46256,47828,49985,51461,49671,4.16,3.4,4.51,2.95,-3.48
Wright County,Wright,171,38933,58681,68710,89986,124700,141337,50.72,17.09,30.96,38.58,13.34
Yellow Medicine County,Yellow Medicine,173,14418,13653,11684,11080,10438,9528,-5.31,-14.42,-5.17,-5.79,-8.72
